file,data/brp/brp.gv
Number of edges,5727
Number of nodes,2866
Average clustering,0.04751898531413412
Betweenness centrality max. value,0.005955959449502695
Betweenness centrality avg. value,0.00029871620144525813
Closeness centrality max. value,0.7576079251230855
Closeness centrality avg. value,0.0018130811264990515
Degree centrality max. value,0.6949389179755672
Degree centrality avg. value,0.001394942693357333
file,data/guidance/guidance.gv
Number of edges,17563
Number of nodes,8784
Average clustering,0.02796745035228173
Betweenness centrality max. value,0.02118519626618403
Betweenness centrality avg. value,0.001082772353306884
Closeness centrality max. value,0.6483792449129671
Closeness centrality avg. value,0.0040913590041034295
Degree centrality max. value,0.5827166116361152
Degree centrality avg. value,0.00045529563548734556
file,data/m4/modcounter.m4.gv
Number of edges,1281
Number of nodes,643
Average clustering,0.07190605236579778
Betweenness centrality max. value,0.03849531153773618
Betweenness centrality avg. value,0.004879111168574586
Closeness centrality max. value,0.72072247481126
Closeness centrality avg. value,0.011439022362437505
Degree centrality max. value,0.6277258566978193
Degree centrality avg. value,0.006206305140913572
file,data/m4/non_selective.m4.gv
Number of edges,605
Number of nodes,305
Average clustering,0.030604045672061025
Betweenness centrality max. value,0.04168476058132129
Betweenness centrality avg. value,0.010807085885465155
Closeness centrality max. value,0.6832653608001905
Closeness centrality avg. value,0.022225366324232977
Degree centrality max. value,0.6217105263157895
Degree centrality avg. value,0.013050043140638415
file,data/msi/msi_wtrans.gv
Number of edges,61159
Number of nodes,30582
Average clustering,0.06171296927495979
Betweenness centrality max. value,0.00031058123735393993
Betweenness centrality avg. value,8.452723701029083e-06
Closeness centrality max. value,0.5635020092267726
Closeness centrality avg. value,0.000792863870870164
Degree centrality max. value,0.44288937575618853
Degree centrality avg. value,0.00013078947746209904
file,data/p-queue/p-queue-gv
Number of edges,15123
Number of nodes,7564
Average clustering,0.05271474168089581
Betweenness centrality max. value,0.0013008947533131115
Betweenness centrality avg. value,4.448235794966912e-05
Closeness centrality max. value,0.6793961840437293
Closeness centrality avg. value,0.0012080431379642305
Degree centrality max. value,0.6164220547401825
Degree centrality avg. value,0.0005287158466449692
file,data/prod-cons/prod-cons.gv
Number of edges,6651
Number of nodes,3328
Average clustering,0.03207727636927683
Betweenness centrality max. value,0.003342464782910834
Betweenness centrality avg. value,0.00022858651665452794
Closeness centrality max. value,0.5018110927514466
Closeness centrality avg. value,0.003827902119028665
Degree centrality max. value,0.401863540727382
Degree centrality avg. value,0.0012013811819380652
file,data/production-cell/production-cell.gv
Number of edges,9265
Number of nodes,4635
Average clustering,0.08977437031198575
Betweenness centrality max. value,0.030695399557732636
Betweenness centrality avg. value,0.001327660665100748
Closeness centrality max. value,0.6746286361486001
Closeness centrality avg. value,0.007355787103443198
Degree centrality max. value,0.5979715148899439
Degree centrality avg. value,0.000862719573305354
file,data/reactor/base.gv
Number of edges,19059
Number of nodes,9532
Average clustering,0.035306515187371226
Betweenness centrality max. value,0.001482498761703539
Betweenness centrality avg. value,8.859098359288686e-05
Closeness centrality max. value,0.7189527768915637
Closeness centrality avg. value,0.0007686338373340087
Degree centrality max. value,0.6383380547686497
Degree centrality avg. value,0.0004195730670679948
file,data/reactor/idle.gv
Number of edges,19179
Number of nodes,9592
Average clustering,0.03511346633385035
Betweenness centrality max. value,0.0014673340893862415
Betweenness centrality avg. value,9.460898924949848e-05
Closeness centrality max. value,0.7187617198309283
Closeness centrality avg. value,0.0007716158944026858
Degree centrality max. value,0.6379939526639558
Degree centrality avg. value,0.000416948958873339
file,data/smv-dist/bmc_tutorial.gv
Number of edges,33
Number of nodes,19
Average clustering,0.01374269005847953
Betweenness centrality max. value,0.11959228135698724
Betweenness centrality avg. value,0.0498796009631923
Closeness centrality max. value,0.6422222222222222
